Login;Projeto;Localização;Repos_públicos;Seguidores;Seguindo;Criado_em;Atualizado_em;Contribuições;País;Longitude;Latitude;Atualizado_em_Ano;Atualizado_em_Mes;Atualizado_em_Dia;Criado_em_Ano;Criado_em_Mes;Criado_em_Dia
arendst;Tasmota;Netherlands;30;1627;2;2015-02-17;2025-06-17;8879;Netherlands;5.613491;51.972466;2025;6;17;2015;2;17
s-hadinger;Tasmota;<null>;26;39;2;2019-04-17;2025-05-09;3214;<null>;0.0;0.0;2025;5;9;2019;4;17
Jason2866;Tasmota;Germany;198;357;5;2016-12-12;2025-06-08;2139;Germany;10.018343;51.133481;2025;6;8;2016;12;12
ascillato;Tasmota;Canada;155;56;76;2018-01-13;2025-06-08;886;Canada;-105.750596;55.585901;2025;6;8;2018;1;13
gemu2015;Tasmota;<null>;4;34;0;2015-03-25;2025-05-06;592;<null>;0.0;0.0;2025;5;6;2015;3;25
Staars;Tasmota;Germany;55;15;1;2013-09-17;2025-05-05;306;Germany;10.018343;51.133481;2025;5;5;2013;9;17
stefanbode;Tasmota;Cologne, Germany;17;45;7;2015-12-09;2025-05-25;302;Germany;6.960162;50.93804;2025;5;25;2015;12;9
curzon01;Tasmota;Germany;30;12;2;2014-02-10;2025-06-15;206;Germany;10.018343;51.133481;2025;6;15;2014;2;10
barbudor;Tasmota;France, Paris south suburbs;42;24;1;2012-12-08;2025-06-17;199;France;2.348392;48.853495;2025;6;17;2012;12;8
andrethomas;Tasmota;<null>;55;11;5;2010-11-06;2025-05-21;197;<null>;0.0;0.0;2025;5;21;2010;11;6
pcdiem;Tasmota;IL, US;5;2;0;2019-03-22;2025-02-03;122;United States;-89.274946;40.149293;2025;2;3;2019;3;22
ascillato2;Tasmota;<null>;0;16;0;2018-06-05;2024-11-25;114;<null>;0.0;0.0;2024;11;25;2018;6;5
bovirus;Tasmota;Milano, Italy;47;99;2;2011-12-14;2025-06-12;113;Italy;9.188558;45.463945;2025;6;12;2011;12;14
hallard;Tasmota;Poitiers, France;116;472;2;2012-10-02;2024-10-06;99;France;0.341987;46.582954;2024;10;6;2012;10;2
ajithvasudevan;Tasmota;Bangalore;31;19;0;2014-08-31;2025-06-13;84;India;77.67368;12.99879;2025;6;13;2014;8;31
effelle;Tasmota;Italy, Brazil, US;7;3;0;2014-05-26;2025-05-30;83;United States;-87.118292;39.525281;2025;5;30;2014;5;26
reloxx13;Tasmota;Germany;79;34;4;2015-09-26;2025-06-14;83;Germany;10.018343;51.133481;2025;6;14;2015;9;26
mike2nl;Tasmota;<null>;104;6;12;2013-09-28;2025-02-08;76;<null>;0.0;0.0;2025;2;8;2013;9;28
arijav;Tasmota;Nürnberg;9;2;2;2020-04-15;2025-06-13;75;Germany;11.077667;49.45418;2025;6;13;2020;4;15
chaosmaster;Tasmota;<null>;52;335;0;2011-11-09;2025-01-19;74;<null>;0.0;0.0;2025;1;19;2011;11;9
SteWers;Tasmota;Germany;4;0;0;2018-08-26;2025-06-15;71;Germany;10.018343;51.133481;2025;6;15;2018;8;26
blakadder;Tasmota;Croatia;59;231;3;2013-11-10;2025-05-22;66;Croatia;16.679107;45.664952;2025;5;22;2013;11;10
emontnemery;Tasmota;<null>;79;214;0;2015-09-14;2025-06-12;65;<null>;0.0;0.0;2025;6;12;2015;9;14
btsimonh;Tasmota;<null>;100;41;2;2012-12-27;2025-06-09;51;<null>;0.0;0.0;2025;6;9;2012;12;27
tiagofreire-pt;Tasmota;<null>;11;42;1;2018-07-28;2025-04-26;48;<null>;0.0;0.0;2025;4;26;2018;7;28
localhost61;Tasmota;Rennes, France;7;4;0;2017-11-21;2023-07-10;45;France;-1.681558;48.113247;2023;7;10;2017;11;21
device111;Tasmota;Bavaria, Germany;15;3;3;2019-03-14;2025-05-03;42;Germany;11.575382;48.137108;2025;5;3;2019;3;14
md5sum-as;Tasmota;<null>;11;0;0;2015-07-14;2025-01-07;40;<null>;0.0;0.0;2025;1;7;2015;7;14
gtortone;Tasmota;Italy;96;17;1;2014-01-29;2025-06-16;38;Italy;12.646361;42.504154;2025;6;16;2014;1;29
marcvs;Tasmota;Karlsruhe, Germany;44;9;0;2012-09-07;2024-12-22;38;Germany;8.401216;49.009716;2024;12;22;2012;9;7
crispy78;Tasmota;<null>;5;0;2;2018-09-04;2025-06-09;35;<null>;0.0;0.0;2025;6;9;2018;9;4
eeak;Tasmota;Estonia;287;3;0;2018-05-06;2025-04-26;31;Estonia;25.761527;58.778397;2025;4;26;2018;5;6
mikep1998;Tasmota;<null>;0;0;0;2018-10-24;2024-10-24;30;<null>;0.0;0.0;2024;10;24;2018;10;24
mbezuidenhout;Tasmota;<null>;41;3;1;2014-08-14;2025-06-11;30;<null>;0.0;0.0;2025;6;11;2014;8;14
tichris0;Tasmota;<null>;5;2;0;2012-06-26;2025-05-20;28;<null>;0.0;0.0;2025;5;20;2012;6;26
meingraham;Tasmota;South Carolina, USA;0;4;2;2017-12-07;2025-04-22;25;United States;-80.900773;33.918412;2025;4;22;2017;12;7
grzegorz914;Tasmota;Poland;11;60;8;2017-05-22;2025-06-11;25;Poland;19.300636;52.12461;2025;6;11;2017;5;22
gsimon75;Tasmota;UAE, Dubai;17;11;0;2011-08-17;2025-03-12;24;United Arab Emirates;55.297558;25.25809;2025;3;12;2011;8;17
laurentdong;Tasmota;Toronto;9;1;0;2018-10-18;2022-01-16;23;Canada;-79.38355;43.647938;2022;1;16;2018;10;18
andrethomas2;Tasmota;<null>;1;1;0;2018-09-17;2020-02-28;22;<null>;0.0;0.0;2020;2;28;2018;9;17
pkkrusty;Tasmota;<null>;8;4;0;2021-02-27;2025-06-16;21;<null>;0.0;0.0;2025;6;16;2021;2;27
sfromis;Tasmota;<null>;7;20;0;2019-01-27;2022-04-22;20;<null>;0.0;0.0;2022;4;22;2019;1;27
joba-1;Tasmota;<null>;98;21;8;2017-10-02;2025-05-12;19;<null>;0.0;0.0;2025;5;12;2017;10;2
dgwynne;Tasmota;Brisbane, Australia;46;46;9;2011-09-04;2025-06-09;17;Australia;153.0277;-27.469099;2025;6;9;2011;9;4
teixeluis;Tasmota;Portugal;15;8;1;2019-06-11;2025-05-30;17;Portugal;-8.562731;39.600995;2025;5;30;2019;6;11
Theosakamg;Tasmota;France;68;67;18;2012-07-02;2025-06-17;17;France;2.618787;47.824905;2025;6;17;2012;7;2
kueblc;Tasmota;<null>;32;70;8;2011-01-09;2025-03-03;17;<null>;0.0;0.0;2025;3;3;2011;1;9
Performance20;Tasmota;<null>;11;0;0;2016-07-29;2025-05-23;16;<null>;0.0;0.0;2025;5;23;2016;7;29
MadDoct;Tasmota;<null>;8;5;0;2017-09-18;2025-04-17;16;<null>;0.0;0.0;2025;4;17;2017;9;18
rjaakke;Tasmota;Netherlands;11;3;0;2015-03-01;2025-05-15;16;Netherlands;5.613491;51.972466;2025;5;15;2015;3;1
znanev;Tasmota;UK;18;5;1;2016-06-20;2025-02-01;16;United Kingdom;-2.36967;54.237933;2025;2;1;2016;6;20
Noschvie;Tasmota;Vienna;45;3;5;2019-03-04;2025-06-07;15;Austria;16.372504;48.208354;2025;6;7;2019;3;4
ortegafernando;Tasmota;<null>;44;4;3;2014-09-08;2025-03-25;15;<null>;0.0;0.0;2025;3;25;2014;9;8
pablozg;Tasmota;Spain;55;35;3;2014-10-10;2025-05-30;15;Spain;-4.055685;41.294856;2025;5;30;2014;10;10
malbinola;Tasmota;Cassano Magnago, VA, Italy;4;2;2;2014-07-18;2025-06-05;15;Italy;8.825294;45.67299;2025;6;5;2014;7;18
Cossid;Tasmota;<null>;20;19;0;2021-04-30;2024-09-03;14;<null>;0.0;0.0;2024;9;3;2021;4;30
blacknell;Tasmota;London, England;17;5;4;2014-09-22;2025-05-20;14;United Kingdom;-0.127647;51.5073;2025;5;20;2014;9;22
tthk;Tasmota;<null>;8;2;0;2016-02-06;2024-02-18;13;<null>;0.0;0.0;2024;2;18;2016;2;6
Leuselator;Tasmota;Germany;0;2;1;2018-11-20;2023-06-16;13;Germany;10.018343;51.133481;2023;6;16;2018;11;20
logon84;Tasmota;Elche (Spain);18;65;5;2015-02-24;2025-06-12;13;Spain;-0.697841;38.265892;2025;6;12;2015;2;24
jziolkowski;Tasmota;<null>;15;63;0;2015-03-19;2025-05-29;13;<null>;0.0;0.0;2025;5;29;2015;3;19
he-so;Tasmota;Germany;17;0;1;2015-06-26;2025-06-05;13;Germany;10.018343;51.133481;2025;6;5;2015;6;26
