Login;Projeto;Localização;Repos_públicos;Seguidores;Seguindo;Criado_em;Atualizado_em;País;Longitude;Latitude
arendst;Tasmota;Netherlands;30;1627;2;2015-02-17;2025-06-17;Netherlands;5.613491;51.972466
localstack;localstack;<null>;93;1640;0;2017-05-16;2025-06-17;<null>;0;0
th-ch;youtube-music;<null>;11;538;146;2014-06-30;2025-06-07;<null>;0;0
n8n-io;n8n;Germany;39;6083;0;2018-11-30;2025-06-17;Germany;10.018343;51.133481
discordjs;discord.js;<null>;32;1274;0;2017-03-17;2025-06-03;<null>;0;0
python-telegram-bot;python-telegram-bot;<null>;10;895;0;2015-12-06;2025-06-03;<null>;0;0
ccxt;ccxt;<null>;28;740;0;2017-09-12;2024-08-14;<null>;0;0
starship;starship;<null>;7;414;0;2019-04-15;2025-05-28;<null>;0;0
nvm-sh;nvm;<null>;4;811;0;2019-04-24;2025-06-15;<null>;0;0
qbittorrent;qBittorrent;<null>;6;1137;0;2012-08-10;2025-06-11;<null>;0;0
microsoft;TypeScript;Redmond, WA;6917;94880;0;2013-12-10;2025-06-06;United States;-122.121527;47.673904
flutter;flutter;<null>;36;19619;0;2015-09-03;2024-07-18;<null>;0;0
serverless;serverless;United States of America;71;796;0;2015-08-11;2025-06-12;United States;-97.922211;39.381266
apache;flink;<null>;2789;18428;0;2009-01-17;2025-06-12;<null>;0;0
babel;babel;<null>;63;924;0;2014-11-09;2025-06-05;<null>;0;0
electron;electron;United States of America;104;3402;0;2015-07-19;2025-06-14;United States;-97.922211;39.381266
neovim;neovim;<null>;30;3927;0;2014-01-22;2025-06-07;<null>;0;0
twbs;bootstrap;San Francisco;26;12927;0;2012-11-29;2022-11-27;United States;-122.419359;37.779238
supabase;supabase;United States of America;116;6362;0;2019-08-24;2025-06-12;United States;-97.922211;39.381266
facebook;docusaurus;Menlo Park, California;149;30497;0;2009-04-02;2024-12-27;United States;-122.182998;37.453527
matplotlib;matplotlib;<null>;53;1271;0;2010-03-04;2025-06-16;<null>;0;0
facebook;react-native;Menlo Park, California;149;30497;0;2009-04-02;2024-12-27;United States;-122.182998;37.453527
microsoft;vscode;Redmond, WA;6917;94880;0;2013-12-10;2025-06-06;United States;-122.121527;47.673904
tensorflow;tensorflow;<null>;107;18721;0;2015-11-04;2024-07-18;<null>;0;0
kubernetes;kubernetes;<null>;79;11394;0;2015-08-03;2024-08-28;<null>;0;0
django;django;<null>;26;8570;0;2008-10-06;2025-05-18;<null>;0;0
scikit-learn;scikit-learn;<null>;16;4726;0;2010-08-16;2025-01-27;<null>;0;0
angular;angular;United States of America;205;7756;0;2009-10-13;2024-11-12;United States;-97.922211;39.381266
huggingface;transformers;NYC + Paris;321;50308;0;2017-02-12;2025-04-20;United States;-74.122743;40.635967
ansible;ansible;United States of America;284;3031;0;2012-03-06;2025-05-08;United States;-97.922211;39.381266
pandas-dev;pandas;<null>;15;4736;0;2016-08-23;2025-06-12;<null>;0;0
