Country;Longitude;Latitude
Netherlands;5.613491;51.972466
<null>;0;0
<null>;0;0
Germany;10.018343;51.133481
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
United States;-122.121527;47.673904
<null>;0;0
United States;-97.922211;39.381266
<null>;0;0
<null>;0;0
United States;-97.922211;39.381266
<null>;0;0
United States;-122.419359;37.779238
United States;-97.922211;39.381266
United States;-122.182998;37.453527
<null>;0;0
United States;-122.182998;37.453527
United States;-122.121527;47.673904
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
United States;-97.922211;39.381266
United States;-74.122743;40.635967
United States;-97.922211;39.381266
<null>;0;0
