login;id_projeto;location;public_repos;followers;following;created_at;updated_at;contributions
arendst;Tasmota;Netherlands;30;1627;2;2015-02-17;2025-06-17;8879
s-hadinger;Tasmota;<null>;26;39;2;2019-04-17;2025-05-09;3214
Jason2866;Tasmota;Germany;198;357;5;2016-12-12;2025-06-08;2139
ascillato;Tasmota;Canada;155;56;76;2018-01-13;2025-06-08;886
gemu2015;Tasmota;<null>;4;34;0;2015-03-25;2025-05-06;592
Staars;Tasmota;Germany;55;15;1;2013-09-17;2025-05-05;306
stefanbode;Tasmota;Cologne, Germany;17;45;7;2015-12-09;2025-05-25;302
curzon01;Tasmota;Germany;30;12;2;2014-02-10;2025-06-15;206
barbudor;Tasmota;France, Paris south suburbs;42;24;1;2012-12-08;2025-06-17;199
andrethomas;Tasmota;In a ~408km orbit...;55;11;5;2010-11-06;2025-05-21;197
pcdiem;Tasmota;IL, US;5;2;0;2019-03-22;2025-02-03;122
ascillato2;Tasmota;<null>;0;16;0;2018-06-05;2024-11-25;114
bovirus;Tasmota;Milano, Italy;47;99;2;2011-12-14;2025-06-12;113
hallard;Tasmota;Poitiers, France;116;472;2;2012-10-02;2024-10-06;99
ajithvasudevan;Tasmota;Bangalore;31;19;0;2014-08-31;2025-06-13;84
effelle;Tasmota;Italy, Brazil, US;7;3;0;2014-05-26;2025-05-30;83
reloxx13;Tasmota;Germany;79;34;4;2015-09-26;2025-06-14;83
mike2nl;Tasmota;Earth, third planet from the star Sun;104;6;12;2013-09-28;2025-02-08;76
arijav;Tasmota;Nürnberg;9;2;2;2020-04-15;2025-06-13;75
chaosmaster;Tasmota;<null>;52;335;0;2011-11-09;2025-01-19;74
SteWers;Tasmota;Germany;4;0;0;2018-08-26;2025-06-15;71
blakadder;Tasmota;Croatia;59;231;3;2013-11-10;2025-05-22;66
emontnemery;Tasmota;<null>;79;214;0;2015-09-14;2025-06-12;65
btsimonh;Tasmota;<null>;100;41;2;2012-12-27;2025-06-09;51
tiagofreire-pt;Tasmota;<null>;11;42;1;2018-07-28;2025-04-26;48
localhost61;Tasmota;Rennes, France;7;4;0;2017-11-21;2023-07-10;45
device111;Tasmota;front bavarian forest;15;3;3;2019-03-14;2025-05-03;42
md5sum-as;Tasmota;<null>;11;0;0;2015-07-14;2025-01-07;40
gtortone;Tasmota;Italy;96;17;1;2014-01-29;2025-06-16;38
marcvs;Tasmota;Karlsruhe, Germany;44;9;0;2012-09-07;2024-12-22;38
crispy78;Tasmota;<null>;5;0;2;2018-09-04;2025-06-09;35
eeak;Tasmota;Estonia;287;3;0;2018-05-06;2025-04-26;31
mikep1998;Tasmota;<null>;0;0;0;2018-10-24;2024-10-24;30
mbezuidenhout;Tasmota;<null>;41;3;1;2014-08-14;2025-06-11;30
tichris0;Tasmota;<null>;5;2;0;2012-06-26;2025-05-20;28
meingraham;Tasmota;South Carolina, USA;0;4;2;2017-12-07;2025-04-22;25
grzegorz914;Tasmota;Poland;11;60;8;2017-05-22;2025-06-11;25
gsimon75;Tasmota;UAE, Dubai;17;11;0;2011-08-17;2025-03-12;24
laurentdong;Tasmota;Toronto;9;1;0;2018-10-18;2022-01-16;23
andrethomas2;Tasmota;<null>;1;1;0;2018-09-17;2020-02-28;22
pkkrusty;Tasmota;<null>;8;4;0;2021-02-27;2025-06-16;21
sfromis;Tasmota;<null>;7;20;0;2019-01-27;2022-04-22;20
joba-1;Tasmota;<null>;98;21;8;2017-10-02;2025-05-12;19
dgwynne;Tasmota;Brisbane, Australia;46;46;9;2011-09-04;2025-06-09;17
teixeluis;Tasmota;Portugal;15;8;1;2019-06-11;2025-05-30;17
Theosakamg;Tasmota;France;68;67;18;2012-07-02;2025-06-17;17
kueblc;Tasmota;<null>;32;70;8;2011-01-09;2025-03-03;17
Performance20;Tasmota;<null>;11;0;0;2016-07-29;2025-05-23;16
MadDoct;Tasmota;<null>;8;5;0;2017-09-18;2025-04-17;16
rjaakke;Tasmota;The Netherlands;11;3;0;2015-03-01;2025-05-15;16
znanev;Tasmota;UK;18;5;1;2016-06-20;2025-02-01;16
Noschvie;Tasmota;Vienna;45;3;5;2019-03-04;2025-06-07;15
ortegafernando;Tasmota;<null>;44;4;3;2014-09-08;2025-03-25;15
pablozg;Tasmota;Spain;55;35;3;2014-10-10;2025-05-30;15
malbinola;Tasmota;Cassano Magnago, VA, Italy;4;2;2;2014-07-18;2025-06-05;15
Cossid;Tasmota;<null>;20;19;0;2021-04-30;2024-09-03;14
blacknell;Tasmota;London, England;17;5;4;2014-09-22;2025-05-20;14
tthk;Tasmota;<null>;8;2;0;2016-02-06;2024-02-18;13
Leuselator;Tasmota;Germany;0;2;1;2018-11-20;2023-06-16;13
logon84;Tasmota;Elche (Spain);18;65;5;2015-02-24;2025-06-12;13
jziolkowski;Tasmota;<null>;15;63;0;2015-03-19;2025-05-29;13
he-so;Tasmota;Germany;17;0;1;2015-06-26;2025-06-05;13
gururise;Tasmota;Los Angeles, California;33;99;7;2013-05-08;2025-06-05;13
jeroenst;Tasmota;<null>;86;10;3;2012-11-19;2025-04-26;12
thirug010;Tasmota;<null>;18;3;0;2017-08-04;2025-02-04;12
mrekin;Tasmota;Moscow;21;4;2;2014-09-03;2025-06-06;12
grob6000;Tasmota;Australia;23;3;0;2014-08-20;2024-10-04;12
ayavilevich;Tasmota;<null>;35;18;1;2011-10-23;2024-08-19;12
bkmit;Tasmota;Lviv, Ukraine;20;50;108;2012-03-22;2025-06-12;11
yury-sannikov;Tasmota;Arlington, VA / Remote;55;30;1;2014-02-04;2025-05-12;11
nicandris;Tasmota;Amsterdam, Netherlands;21;10;1;2010-05-23;2025-01-14;11
Arnold-n;Tasmota;Netherlands;27;46;1;2019-03-12;2025-03-13;11
jaymemaurice;Tasmota;Canada;11;1;1;2018-05-01;2025-03-20;11
benjaminnestler;Tasmota;<null>;7;2;5;2022-03-07;2025-04-01;11
AlbertoLopSie;Tasmota;Buenos Aires, Argentina;31;5;1;2012-10-22;2025-03-26;10
shantur;Tasmota;London;90;19;5;2011-01-27;2025-05-28;10
vic42;Tasmota;Earth;17;1;1;2013-01-24;2024-09-14;10
d0m1n1qu3;Tasmota;Germany;16;2;3;2020-07-09;2025-04-24;10
sillyfrog;Tasmota;Australia;118;21;1;2011-05-29;2025-06-07;9
hansmi;Tasmota;Switzerland;27;17;0;2013-01-10;2025-05-15;9
halfbakery;Tasmota;<null>;15;1;0;2019-09-02;2022-06-01;9
lboue;Tasmota;France;288;30;212;2011-07-25;2025-04-02;9
hwstar;Tasmota;San Diego, CA USA;66;39;3;2012-05-18;2024-08-04;9
wvdv2002;Tasmota;<null>;35;12;5;2012-01-24;2024-12-14;9
hackbar;Tasmota;<null>;11;8;0;2014-04-03;2024-06-26;8
philrich;Tasmota;<null>;3;1;1;2016-03-01;2025-05-21;8
araczkowski;Tasmota;Poland;78;32;18;2011-12-14;2025-06-13;8
edelstahlratte;Tasmota;<null>;2;1;0;2016-02-26;2025-02-16;8
francescoadriani;Tasmota;PG, Italy;20;2;3;2021-09-18;2025-06-05;8
reef-actor;Tasmota;<null>;5;2;0;2018-01-29;2025-05-19;8
oogm;Tasmota;<null>;6;2;1;2017-11-17;2025-04-13;8
nonix;Tasmota;Switzerland;3;0;1;2012-06-25;2025-05-13;8
ksaye;Tasmota;<null>;36;20;1;2015-11-13;2025-05-16;8
RemiDing;Tasmota;<null>;6;0;0;2018-05-15;2025-06-05;8
burundiocibu;Tasmota;<null>;23;2;1;2013-08-03;2025-06-10;8
yoo;Tasmota;Hamburg;40;34;2;2012-01-13;2025-04-11;8
schlimmchen;Tasmota;Schnelldorf, Germany;29;28;0;2013-02-12;2025-05-30;8
BBBits;Tasmota;<null>;4;0;0;2013-11-23;2021-01-10;8
GMagician;Tasmota;Italy;25;12;0;2013-02-24;2025-05-06;7
wir3z;Tasmota;Canada;8;3;0;2020-01-21;2024-09-01;7
synekvl;Tasmota;<null>;1;1;0;2018-08-11;2023-01-08;7
protectivedad;Tasmota;<null>;54;1;0;2011-10-02;2025-02-07;7
evzone;Tasmota;<null>;8;1;1;2014-03-09;2024-06-07;7
stefan-oskamp;Tasmota;Vijlen;1;3;1;2019-11-18;2025-01-16;7
theOzzieRat;Tasmota;Canberra, Australia;1;3;1;2013-02-23;2021-09-22;7
claybar;Tasmota;Christchurch, New Zealand;12;1;2;2014-02-21;2023-06-20;7
jkostorz;Tasmota;Poland;16;1;0;2019-03-26;2025-03-25;6
yvesdm3000;Tasmota;<null>;35;3;6;2012-05-08;2025-05-13;6
saper-2;Tasmota;Poland;56;20;6;2014-08-23;2025-05-10;6
mhansen;Tasmota;Sydney, Australia;112;77;15;2009-07-16;2025-04-17;6
dspworx;Tasmota;<null>;0;0;0;2020-03-08;2020-03-08;6
RaphDaMan;Tasmota;Germany;41;1;6;2019-08-02;2025-06-01;6
ryancdotorg;Tasmota;London, UK;135;541;12;2011-03-08;2025-05-28;6
hk2k2;Tasmota;Austria;2;0;1;2020-09-08;2023-01-05;6
fb-pilot;Tasmota;<null>;2;0;0;2017-01-29;2025-01-21;6
thomashargrove;Tasmota;Bellevue, WA;3;4;2;2015-10-21;2025-06-02;6
stibus;Tasmota;<null>;18;1;9;2018-04-17;2025-06-10;6
BASM;Tasmota;Russia, Moscow;33;6;3;2009-11-24;2025-06-16;5
marcusb;Tasmota;Boston, MA;52;40;0;2009-01-13;2025-05-23;5
ipm79;Tasmota;Austria;8;3;0;2012-07-03;2024-10-12;5
abmaonline;Tasmota;Netherlands;17;5;6;2013-04-13;2024-10-10;5
tidabek;Tasmota;UK;19;1;0;2014-09-13;2024-11-24;5
FransOv;Tasmota;The Netherlands;7;1;0;2019-11-20;2025-01-25;5
alexasf;Tasmota;<null>;9;0;0;2013-08-14;2025-06-09;5
kevinbaluha;Tasmota;<null>;8;2;4;2011-07-10;2025-04-13;5
Bettman66;Tasmota;Germany;5;3;0;2015-10-21;2024-11-21;5
rvbglas;Tasmota;<null>;20;1;0;2015-10-08;2024-10-13;5
HardwareBoffin;Tasmota;<null>;2;0;0;2022-08-02;2024-04-13;5
vtHydroponics;Tasmota;<null>;1;2;0;2023-04-29;2025-02-20;4
kylehase;Tasmota;Tokyo;10;6;1;2009-05-27;2025-05-08;4
hpagonis;Tasmota;<null>;13;1;0;2011-03-16;2025-01-03;4
guyelg;Tasmota;<null>;10;1;0;2015-03-13;2024-09-25;4
digiblur;Tasmota;<null>;33;263;1;2013-01-11;2025-02-27;4
renne;Tasmota;Germany;7;7;0;2013-05-28;2025-04-11;4
SODAISpod;Tasmota;台灣Taiwan;26;6;1;2014-03-02;2025-05-19;4
cybermaus;Tasmota;<null>;7;0;1;2013-01-06;2024-06-29;4
tony-fav;Tasmota;<null>;7;17;1;2018-08-27;2025-04-02;4
xsp1989;Tasmota;shenzhen;26;24;0;2017-01-03;2025-05-24;4
altelch;Tasmota;Germany;16;28;0;2012-10-16;2025-06-11;4
chefpro;Tasmota;<null>;6;0;0;2012-10-26;2025-05-29;4
vascojdb;Tasmota;Krakow, Poland;14;3;0;2014-03-20;2025-06-13;4
trlafleur;Tasmota;<null>;16;13;2;2013-05-30;2023-12-03;4
Seestern93;Tasmota;<null>;4;0;1;2020-12-04;2025-06-11;4
NyaamZ;Tasmota;<null>;5;1;0;2018-09-07;2025-04-12;4
fightforlife;Tasmota;Germany;27;2;0;2013-09-22;2025-06-15;4
Dilbert66;Tasmota;Toronto, Canada;33;32;1;2014-04-06;2025-01-29;4
pearson;Tasmota;<null>;43;3;2;2011-03-08;2025-06-02;4
Frogmore42;Tasmota;<null>;3;5;0;2015-09-03;2024-11-17;4
ZioFabry;Tasmota;<null>;22;31;2;2017-09-26;2025-03-26;4
c7haki;Tasmota;<null>;11;0;1;2012-03-14;2024-06-09;4
Hedda;Tasmota;<null>;139;37;17;2014-01-04;2025-01-08;4
anishsane;Tasmota;<null>;14;5;0;2012-03-30;2025-02-15;3
rt400;Tasmota;Israel;26;19;2;2018-05-01;2025-05-21;3
Vincent1964;Tasmota;Germany;3;1;0;2019-07-20;2023-08-26;3
scop;Tasmota;Finland;207;229;0;2009-07-27;2025-06-17;3
tyeth;Tasmota;Bristol, UK;502;39;159;2014-02-15;2024-08-20;3
TheHexaMaster;Tasmota;<null>;9;0;2;2023-03-27;2025-04-21;3
TheChatty;Tasmota;<null>;6;2;1;2013-06-23;2025-06-15;3
barkow;Tasmota;<null>;37;1;0;2013-11-19;2025-06-02;3
