Country;Longitude;Latitude
Netherlands;5.613491;51.972466
<null>;0;0
Germany;10.018343;51.133481
Canada;-105.750596;55.585901
<null>;0;0
Germany;10.018343;51.133481
Germany;6.960162;50.93804
Germany;10.018343;51.133481
France;2.348392;48.853495
<null>;0;0
United States;-89.274946;40.149293
<null>;0;0
Italy;9.188558;45.463945
France;0.341987;46.582954
India;77.67368;12.99879
United States;-87.118292;39.525281
Germany;10.018343;51.133481
<null>;0;0
Germany;11.077667;49.45418
<null>;0;0
Germany;10.018343;51.133481
Croatia;16.679107;45.664952
<null>;0;0
<null>;0;0
<null>;0;0
France;-1.681558;48.113247
Germany;11.575382;48.137108
<null>;0;0
Italy;12.646361;42.504154
Germany;8.401216;49.009716
<null>;0;0
Estonia;25.761527;58.778397
<null>;0;0
<null>;0;0
<null>;0;0
United States;-80.900773;33.918412
Poland;19.300636;52.12461
United Arab Emirates;55.297558;25.25809
Canada;-79.38355;43.647938
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
Australia;153.0277;-27.469099
Portugal;-8.562731;39.600995
France;2.618787;47.824905
<null>;0;0
<null>;0;0
<null>;0;0
Netherlands;5.613491;51.972466
United Kingdom;-2.36967;54.237933
Austria;16.372504;48.208354
<null>;0;0
Spain;-4.055685;41.294856
Italy;8.825294;45.67299
<null>;0;0
United Kingdom;-0.127647;51.5073
<null>;0;0
Germany;10.018343;51.133481
Spain;-0.697841;38.265892
<null>;0;0
Germany;10.018343;51.133481
United States;-118.254187;34.048051
<null>;0;0
<null>;0;0
Russia;37.617494;55.750446
Australia;134.489563;-25.734968
<null>;0;0
Ukraine;24.030994;49.841206
United States;-77.091601;38.888414
Netherlands;4.9;52.378
Netherlands;5.613491;51.972466
Canada;-105.750596;55.585901
<null>;0;0
Argentina;-58.437089;-34.607568
United Kingdom;-0.127647;51.5073
<null>;0;0
Germany;10.018343;51.133481
Australia;134.489563;-25.734968
Switzerland;8.234392;46.802496
<null>;0;0
France;2.618787;47.824905
United States;-117.16016;32.713623
<null>;0;0
<null>;0;0
<null>;0;0
Poland;19.300636;52.12461
<null>;0;0
Italy;12.38901;43.111961
<null>;0;0
<null>;0;0
Switzerland;8.234392;46.802496
<null>;0;0
<null>;0;0
<null>;0;0
Germany;10.000654;53.550341
Germany;10.175919;49.19893
<null>;0;0
Italy;12.646361;42.504154
Canada;-105.750596;55.585901
<null>;0;0
<null>;0;0
<null>;0;0
Netherlands;5.99093;50.786926
Australia;149.12927;-35.279522
New Zealand;172.63503;-43.533516
Poland;19.300636;52.12461
<null>;0;0
Poland;19.300636;52.12461
Australia;151.20695;-33.86873
<null>;0;0
Germany;10.018343;51.133481
United Kingdom;-0.127647;51.5073
Austria;14.300144;47.607798
<null>;0;0
United States;-122.200173;47.613846
<null>;0;0
Russia;37.617494;55.750446
United States;-71.056804;42.35888
Austria;14.300144;47.607798
Netherlands;5.613491;51.972466
United Kingdom;-2.36967;54.237933
Netherlands;5.613491;51.972466
<null>;0;0
<null>;0;0
Germany;10.018343;51.133481
<null>;0;0
<null>;0;0
<null>;0;0
Japan;139.692526;35.68882
<null>;0;0
<null>;0;0
<null>;0;0
Germany;10.018343;51.133481
Taiwan;120.679398;24.14256
<null>;0;0
<null>;0;0
China;114.05471;22.535383
Germany;10.018343;51.133481
<null>;0;0
Poland;19.937975;50.062325
<null>;0;0
<null>;0;0
<null>;0;0
Germany;10.018343;51.133481
Canada;-79.38355;43.647938
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
Israel;34.841999;31.847261
Germany;10.018343;51.133481
Finland;26.199539;62.777754
United Kingdom;-2.597298;51.453802
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
Italy;16.869337;41.126244
<null>;0;0
Germany;10.018343;51.133481
<null>;0;0
Canada;-105.750596;55.585901
United Kingdom;-0.127647;51.5073
Sweden;17.675409;64.964875
<null>;0;0
Germany;11.635124;52.127384
<null>;0;0
<null>;0;0
<null>;0;0
Israel;34.841999;31.847261
<null>;0;0
Austria;14.300144;47.607798
Sweden;14.636897;63.177784
Germany;12.375101;51.34083
